Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,Feb 2017,36.80511
Normal,Feb 2017,30.88062
Above_Normal,Feb 2017,32.31427
Below_Normal,Mar 2017,43.20955
Normal,Mar 2017,29.11778
Above_Normal,Mar 2017,27.67267
Below_Normal,Apr 2017,35.93013
Normal,Apr 2017,31.45314
Above_Normal,Apr 2017,32.61673
Below_Normal,May 2017,30.99925
Normal,May 2017,30.46987
Above_Normal,May 2017,38.53088
Below_Normal,Jun 2017,32.25741
Normal,Jun 2017,33.80419
Above_Normal,Jun 2017,33.9384
Below_Normal,Jul 2017,29.37444
Normal,Jul 2017,35.40321
Above_Normal,Jul 2017,35.22235
Below_Normal,Aug 2017,39.94726
Normal,Aug 2017,32.80396
Above_Normal,Aug 2017,27.24879
Below_Normal,Sep 2017,43.37151
Normal,Sep 2017,31.14656
Above_Normal,Sep 2017,25.48193
Below_Normal,Oct 2017,42.47545
Normal,Oct 2017,30.66675
Above_Normal,Oct 2017,26.8578
Below_Normal,Nov 2017,35.84137
Normal,Nov 2017,30.94325
Above_Normal,Nov 2017,33.21538
Below_Normal,Dec 2017,34.32146
Normal,Dec 2017,31.21719
Above_Normal,Dec 2017,34.46135
Below_Normal,Jan 2018,32.82288
Normal,Jan 2018,30.75757
Above_Normal,Jan 2018,36.41956
Below_Normal,Feb 2018,33.60448
Normal,Feb 2018,30.77191
Above_Normal,Feb 2018,35.62361
Below_Normal,Mar 2018,37.88018
Normal,Mar 2018,30.34229
Above_Normal,Mar 2018,31.77752
Below_Normal,Apr 2018,34.3473
Normal,Apr 2018,30.73224
Above_Normal,Apr 2018,34.92046
Below_Normal,May 2018,31.16447
Normal,May 2018,31.2628
Above_Normal,May 2018,37.57273
Below_Normal,Jun 2018,24.61627
Normal,Jun 2018,32.73238
Above_Normal,Jun 2018,42.65136
Below_Normal,Jul 2018,24.69756
Normal,Jul 2018,32.92999
Above_Normal,Jul 2018,42.37245
Below_Normal,Aug 2018,25.63617
Normal,Aug 2018,33.44565
Above_Normal,Aug 2018,40.91818
Below_Normal,Sep 2018,31.21799
Normal,Sep 2018,31.91192
Above_Normal,Sep 2018,36.87009
Below_Normal,Oct 2018,31.69081
Normal,Oct 2018,31.28175
Above_Normal,Oct 2018,37.02744
Below_Normal,Nov 2018,34.06278
Normal,Nov 2018,31.38435
Above_Normal,Nov 2018,34.55287
Below_Normal,Dec 2018,32.82843
Normal,Dec 2018,31.23751
Above_Normal,Dec 2018,35.93405
Below_Normal,Jan 2019,37.57841
Normal,Jan 2019,30.56118
Above_Normal,Jan 2019,31.86041
Below_Normal,Feb 2019,36.44466
Normal,Feb 2019,30.29817
Above_Normal,Feb 2019,33.25718
Below_Normal,Mar 2019,37.17253
Normal,Mar 2019,30.15301
Above_Normal,Mar 2019,32.67447
Below_Normal,Apr 2019,35.13873
Normal,Apr 2019,30.90373
Above_Normal,Apr 2019,33.95754
Below_Normal,May 2019,30.0881
Normal,May 2019,30.51771
Above_Normal,May 2019,39.39419
Below_Normal,Jun 2019,30.1623
Normal,Jun 2019,34.85278
Above_Normal,Jun 2019,34.98492
Below_Normal,Jul 2019,40.69229
Normal,Jul 2019,32.63347
Above_Normal,Jul 2019,26.67424
Below_Normal,Aug 2019,39.20118
Normal,Aug 2019,32.43199
Above_Normal,Aug 2019,28.36683
Below_Normal,Sep 2019,33.70773
Normal,Sep 2019,31.88899
Above_Normal,Sep 2019,34.40327
Below_Normal,Oct 2019,36.35234
Normal,Oct 2019,31.9292
Above_Normal,Oct 2019,31.71845
Below_Normal,Nov 2019,34.50269
Normal,Nov 2019,31.565
Above_Normal,Nov 2019,33.9323
Below_Normal,Dec 2019,34.41902
Normal,Dec 2019,31.25886
Above_Normal,Dec 2019,34.32212
Below_Normal,Jan 2020,32.79677
Normal,Jan 2020,29.77835
Above_Normal,Jan 2020,37.42488
Below_Normal,Feb 2020,36.59006
Normal,Feb 2020,30.57879
Above_Normal,Feb 2020,32.83115
Below_Normal,Mar 2020,38.61457
Normal,Mar 2020,29.64293
Above_Normal,Mar 2020,31.74249
Below_Normal,Apr 2020,39.09187
Normal,Apr 2020,30.87634
Above_Normal,Apr 2020,30.03179
Below_Normal,May 2020,39.58727
Normal,May 2020,30.62324
Above_Normal,May 2020,29.78949
Below_Normal,Jun 2020,54.64655
Normal,Jun 2020,29.17543
Above_Normal,Jun 2020,16.17802
Below_Normal,Jul 2020,45.67703
Normal,Jul 2020,32.25562
Above_Normal,Jul 2020,22.06736
Below_Normal,Aug 2020,49.78116
Normal,Aug 2020,29.08681
Above_Normal,Aug 2020,21.13204
Below_Normal,Sep 2020,44.58638
Normal,Sep 2020,30.00381
Above_Normal,Sep 2020,25.40981
Below_Normal,Oct 2020,40.30083
Normal,Oct 2020,31.18777
Above_Normal,Oct 2020,28.51139
Below_Normal,Nov 2020,41.39204
Normal,Nov 2020,30.34451
Above_Normal,Nov 2020,28.26345
Below_Normal,Dec 2020,34.79142
Normal,Dec 2020,31.08296
Above_Normal,Dec 2020,34.12562
Below_Normal,Jan 2021,36.98034
Normal,Jan 2021,30.77194
Above_Normal,Jan 2021,32.24772
Below_Normal,Feb 2021,32.43567
Normal,Feb 2021,30.87681
Above_Normal,Feb 2021,36.68753
Below_Normal,Mar 2021,37.33412
Normal,Mar 2021,27.35928
Above_Normal,Mar 2021,35.3066
Below_Normal,Apr 2021,33.96126
Normal,Apr 2021,27.84637
Above_Normal,Apr 2021,38.19237
Below_Normal,May 2021,36.91835
Normal,May 2021,30.83775
Above_Normal,May 2021,32.2439
Below_Normal,Jun 2021,41.59941
Normal,Jun 2021,31.88903
Above_Normal,Jun 2021,26.51156
Below_Normal,Jul 2021,43.31611
Normal,Jul 2021,33.67982
Above_Normal,Jul 2021,23.00407
Below_Normal,Aug 2021,49.47795
Normal,Aug 2021,30.22367
Above_Normal,Aug 2021,20.29838
Below_Normal,Sep 2021,39.17156
Normal,Sep 2021,32.85843
Above_Normal,Sep 2021,27.97001
Below_Normal,Oct 2021,39.40104
Normal,Oct 2021,32.83758
Above_Normal,Oct 2021,27.76138
Below_Normal,Nov 2021,35.16269
Normal,Nov 2021,33.03243
Above_Normal,Nov 2021,31.80488
Below_Normal,Dec 2021,35.26069
Normal,Dec 2021,33.27258
Above_Normal,Dec 2021,31.46673
Below_Normal,Jan 2022,32.54203
Normal,Jan 2022,34.01289
Above_Normal,Jan 2022,33.44508
Below_Normal,Feb 2022,36.61832
Normal,Feb 2022,32.68252
Above_Normal,Feb 2022,30.69916
Below_Normal,Mar 2022,41.13238
Normal,Mar 2022,28.54543
Above_Normal,Mar 2022,30.32219
Below_Normal,Apr 2022,31.20973
Normal,Apr 2022,32.82667
Above_Normal,Apr 2022,35.9636
Below_Normal,May 2022,35.55903
Normal,May 2022,33.28433
Above_Normal,May 2022,31.15664
Below_Normal,Jun 2022,54.05753
Normal,Jun 2022,30.12626
Above_Normal,Jun 2022,15.81621
Below_Normal,Jul 2022,51.51797
Normal,Jul 2022,31.43834
Above_Normal,Jul 2022,17.04368
Below_Normal,Aug 2022,59.32784
Normal,Aug 2022,28.55989
Above_Normal,Aug 2022,12.11227
Below_Normal,Sep 2022,38.09633
Normal,Sep 2022,33.08051
Above_Normal,Sep 2022,28.82316
Below_Normal,Oct 2022,35.59461
Normal,Oct 2022,33.12981
Above_Normal,Oct 2022,31.27558
Below_Normal,Nov 2022,33.65355
Normal,Nov 2022,33.67834
Above_Normal,Nov 2022,32.66811
Below_Normal,Dec 2022,33.23001
Normal,Dec 2022,33.44711
Above_Normal,Dec 2022,33.32288
Below_Normal,Jan 2023,30.92095
Normal,Jan 2023,33.43877
Above_Normal,Jan 2023,35.64028
Below_Normal,Feb 2023,30.91137
Normal,Feb 2023,32.50734
Above_Normal,Feb 2023,36.58129
Below_Normal,Mar 2023,30.01912
Normal,Mar 2023,33.41162
Above_Normal,Mar 2023,36.56925
Below_Normal,Apr 2023,36.6667
Normal,Apr 2023,32.25333
Above_Normal,Apr 2023,31.07997
Below_Normal,May 2023,32.45855
Normal,May 2023,33.34409
Above_Normal,May 2023,34.19736
Below_Normal,Jun 2023,21.79858
Normal,Jun 2023,33.63778
Above_Normal,Jun 2023,44.56364
Below_Normal,Jul 2023,27.59108
Normal,Jul 2023,34.13549
Above_Normal,Jul 2023,38.27343
Below_Normal,Aug 2023,13.19939
Normal,Aug 2023,27.69239
Above_Normal,Aug 2023,59.10822
Below_Normal,Sep 2023,29.08334
Normal,Sep 2023,32.15377
Above_Normal,Sep 2023,38.76289
Below_Normal,Oct 2023,32.00611
Normal,Oct 2023,33.06364
Above_Normal,Oct 2023,34.93025
Below_Normal,Nov 2023,34.27414
Normal,Nov 2023,33.52693
Above_Normal,Nov 2023,32.19893
Below_Normal,Dec 2023,33.10323
Normal,Dec 2023,33.24598
Above_Normal,Dec 2023,33.6508
Below_Normal,Jan 2024,38.2317
Normal,Jan 2024,32.18002
Above_Normal,Jan 2024,29.58828
Below_Normal,Feb 2024,28.97143
Normal,Feb 2024,33.4397
Above_Normal,Feb 2024,37.58886
Below_Normal,Mar 2024,30.96171
Normal,Mar 2024,33.36709
Above_Normal,Mar 2024,35.6712
Below_Normal,Apr 2024,32.89326
Normal,Apr 2024,33.61968
Above_Normal,Apr 2024,33.48706
Below_Normal,May 2024,38.79565
Normal,May 2024,33.09194
Above_Normal,May 2024,28.11241
Below_Normal,Jun 2024,57.87698
Normal,Jun 2024,29.03762
Above_Normal,Jun 2024,13.0854
Below_Normal,Jul 2024,48.45225
Normal,Jul 2024,32.09052
Above_Normal,Jul 2024,19.45723
Below_Normal,Aug 2024,51.52022
Normal,Aug 2024,31.2801
Above_Normal,Aug 2024,17.19968
Below_Normal,Sep 2024,36.84941
Normal,Sep 2024,32.65467
Above_Normal,Sep 2024,30.49592
Below_Normal,Oct 2024,38.82716
Normal,Oct 2024,32.75772
Above_Normal,Oct 2024,28.41512
Below_Normal,Nov 2024,30.16915
Normal,Nov 2024,33.01132
Above_Normal,Nov 2024,36.81953
Below_Normal,Dec 2024,33.39679
Normal,Dec 2024,33.66437
Above_Normal,Dec 2024,32.93885
Below_Normal,Jan 2025,37.61666
Normal,Jan 2025,32.91981
Above_Normal,Jan 2025,29.46352
Below_Normal,Feb 2025,37.42352
Normal,Feb 2025,32.17213
Above_Normal,Feb 2025,30.40434
Below_Normal,Mar 2025,42.15451
Normal,Mar 2025,30.80107
Above_Normal,Mar 2025,27.04441
Below_Normal,Apr 2025,37.47677
Normal,Apr 2025,32.83763
Above_Normal,Apr 2025,29.6856
Below_Normal,May 2025,37.24098
Normal,May 2025,33.13431
Above_Normal,May 2025,29.62471
